canonicalId,name,description,module,path
"mc-agent","mc-agent","Manny the Manticore, the visionary director who fronts the whole Manticore video pipeline. Onboards new creators (detects and kicks off setup), turns ideas into projects, routes existing footage (a recording, a livestream VOD) into footage-first projects, tracks every production, routes to the right stage skill, coaches on craft, and helps extend the studio with new skills. Use when the user asks to talk to Manny, asks for Manticore, or is unsure what to do next with their video pipeline.","manticore","_bmad/manticore/mc-agent/SKILL.md"
"mc-assets","mc-assets","Source and farm the stills and b-roll the beat table calls for, driving the creator's registered CLI tools by name, with real verified imagery preferred over generation. Use at the assets stage. Never generates UI or text that must be accurate.","manticore","_bmad/manticore/mc-assets/SKILL.md"
"mc-beats","mc-beats","Riff graphic and motion ideas with the creator, then build the graphics beat table (id, timing, anchor words, type, engine, asset, composition per beat) from the approved cut, plan CTA beats, and STOP for gate 3 approval. Use at the beats stage. Never writes graphics code.","manticore","_bmad/manticore/mc-beats/SKILL.md"
"mc-braindump","mc-braindump","Interview the creator about a video idea and capture their exact words verbatim. The braindump is the raw material every script sentence must trace back to. Use at the braindump stage or when the creator wants to talk through an idea for a project.","manticore","_bmad/manticore/mc-braindump/SKILL.md"
"mc-cut","mc-cut","Turn raw takes into a cut plan, edl.json, a rendered preview, and an editor timeline export. Presents the taste calls for gate 2 approval and renders the preview after every approval; owns the offered final render at gate 4. Use at the cut stage once recordings are in raw/.","manticore","_bmad/manticore/mc-cut/SKILL.md"
"mc-graphics","mc-graphics","Execute the approved beat table in HyperFrames/Remotion/OGraf/HTML, render, frame-verify, and deliver alpha overlays plus a HANDOFF for the creator's editor. Use at the graphics stage, only after gate 3 (beats) is approved.","manticore","_bmad/manticore/mc-graphics/SKILL.md"
"mc-new","mc-new","Scaffold a new Manticore video project from a format profile, idea-first or footage-first. Use when the creator greenlights an idea (""new video"", ""start a project"", ""let's make the X video"") or wants a video built from existing footage (""cut this VOD"", ""make a video from this recording"").","manticore","_bmad/manticore/mc-new/SKILL.md"
"mc-ograf","mc-ograf","Design and build broadcast OGraf HTML graphics packages (lower thirds, title cards, straps, bugs) that load correctly in DaVinci Resolve 21+ and OBS/SPX-GC. Use when the user asks for an ograf graphic, an editable lower third for Resolve, or when mc-graphics/mc-stream-pack route a beat here. Only for editors/targets that support OGraf; check config first.","manticore","_bmad/manticore/mc-ograf/SKILL.md"
"mc-outline","mc-outline","Produce hook candidates, a tight outline, and the title/thumbnail promise for a Manticore project, then STOP for gate 1 approval. Use at the outline stage. Never writes the script.","manticore","_bmad/manticore/mc-outline/SKILL.md"
"mc-package","mc-package","Produce title+thumbnail packages, description, CTA metadata, and chapters for a Manticore project; series A/B pairs, dual-timeline chapters, and a live-event mode for scheduled broadcasts. Use at the package stage (may start any time after gate 1, since the packaging promise exists from the outline).","manticore","_bmad/manticore/mc-package/SKILL.md"
"mc-pipeline","mc-pipeline","Manticore pipeline manager. Reports where a video project stands and routes to the next stage skill. Zero creative instruction. Use for ""where is my project"", ""what's next"", ""run the pipeline"", or when unsure which stage skill applies.","manticore","_bmad/manticore/mc-pipeline/SKILL.md"
"mc-retro","mc-retro","Post-publish feedback ratchet and wrap-up. Takes the creator's notes on a finished video and edits the format profile, blacklist, voice bible, production bible, and offending skill files so the pipeline compounds, then offers the post-publish wrap lane (archive hygiene, asset promotion). Runs with or without project.json. Use after a video ships, whenever the creator gives pipeline feedback, or to wrap up a published project.","manticore","_bmad/manticore/mc-retro/SKILL.md"
"mc-script","mc-script","Weave the full script from the approved outline using the creator's braindump words under the quote-or-cut contract, lint it, and run the craft QA. Use at the script stage, only after gate 1 (outline) is approved.","manticore","_bmad/manticore/mc-script/SKILL.md"
"mc-setup","mc-setup","First-run (or any-time) configuration for the Manticore video pipeline. Creates and updates the studio config ([modules.manticore] in {project-root}/_bmad/custom/config.toml), verifies dependencies and platform support, runs the onboarding interview (basics, render consent, video style, CTAs, audio lanes), builds the brand for real (tokens, Production Bible, headshots, guided voice bible), registers the creator's generation CLIs with end-to-end verification, scaffolds .env.example, and migrates 0.x studios. Run when any mc-* skill reports missing config, or to change tools later.","manticore","_bmad/manticore/mc-setup/SKILL.md"
"mc-stream-pack","mc-stream-pack","Produce a complete branded livestream asset pack for OBS (scenes, stinger, lower thirds) from brand tokens. Use with the livestream-pack format or when the creator asks for stream assets.","manticore","_bmad/manticore/mc-stream-pack/SKILL.md"
